PlayerName,Edad,Goles,Asistencias,Tarjetas_Amarilla,Tarjetas_Roja,Goles_90Min,Asistencias_90Min,xG,npxG,xA,xG_90Min,xA_90Min
Cheick Diabaté,29,8,0,1,2,1.08,0,5.2,5.2,0.2,0.71,0.02
Daniel Didavi,27,9,5,4,0,0.36,0.2,5.4,5.4,2.8,0.22,0.11
Divock Origi,22,6,2,2,0,0.27,0.09,7.9,7.9,2.3,0.36,0.11
Joshua King,25,8,3,3,0,0.29,0.11,7.7,6.2,4.4,0.28,0.16
Callum Wilson,25,8,2,0,0,0.36,0.09,7.6,7.6,1.8,0.34,0.08
Wilfried Zaha,24,9,3,5,0,0.32,0.11,9.7,8.9,4.8,0.34,0.17
Giovanni Simeone,22,14,4,3,0,0.42,0.12,14.6,14.6,3.4,0.44,0.1
Federico Chiesa,19,6,4,7,0,0.18,0.12,7.1,7.1,6.2,0.21,0.19
Max Gradel,29,8,3,6,1,0.3,0.11,8.4,4.6,4.3,0.31,0.16
Yaya Sanogo,24,6,1,6,0,0.36,0.06,7.9,7.9,0.4,0.47,0.02
Christian Eriksen,25,10,10,0,0,0.28,0.28,6.7,6.7,12.6,0.19,0.35
Harry Kane,24,30,2,5,0,0.88,0.06,26.1,23.8,2.7,0.76,0.08
Dele Alli,21,9,10,7,0,0.27,0.3,9.3,9.3,7.9,0.28,0.24
Son Heung-min,25,12,6,0,0,0.47,0.23,10.1,10.1,4.7,0.39,0.18
Dušan Tadic,28,6,3,4,0,0.19,0.1,4.4,3.7,6.7,0.14,0.21
Charlie Austin,28,7,0,2,0,0.61,0,7.9,7.2,0.2,0.69,0.02
Thorgan Hazard,24,10,5,1,0,0.31,0.15,13.7,9.2,6.7,0.42,0.21
Lars Stindl,28,6,3,5,0,0.2,0.1,7.5,7.5,6.2,0.25,0.2
Raffael,32,9,1,0,0,0.39,0.04,7.4,6.7,4.2,0.32,0.18
Marcello Trotta,24,7,2,2,0,0.28,0.08,7.9,5.6,2,0.31,0.08
Ante Budimir,26,6,0,8,0,0.34,0,5.8,5.8,1.7,0.33,0.09
Simeon Nwankwo,25,7,1,1,0,0.52,0.07,3.9,3.9,0.6,0.29,0.04
Iñaki Williams,23,7,4,3,0,0.22,0.13,8.8,8.8,4.7,0.28,0.15
Raúl García,31,10,1,10,0,0.34,0.03,9.1,6.8,3.8,0.31,0.13
Aritz Aduriz,36,9,3,5,0,0.38,0.13,10.6,7.1,1.1,0.44,0.04
Carlos Bacca,30,15,5,9,0,0.55,0.18,13.6,12.9,4.7,0.49,0.17
Samu Castillejo,22,6,5,4,0,0.26,0.22,4.2,4.2,3.3,0.18,0.14
Cédric Bakambu,26,9,0,5,0,0.64,0,5.3,4.6,1.2,0.38,0.08
Lucas Pérez,28,8,6,3,0,0.26,0.19,9.1,6,7.9,0.29,0.26
Adrián López,29,9,6,1,0,0.35,0.23,7.6,7.6,5.2,0.29,0.2
Florin Andone,24,7,3,6,0,0.39,0.17,9.2,9.2,1,0.51,0.06
Giovanni Sio,28,10,3,5,1,0.41,0.12,11.8,11.1,2.6,0.48,0.11
Isaac Mbenza,21,8,2,4,0,0.34,0.09,7.3,7.3,2.1,0.31,0.09
Salomon Kalou,31,12,3,0,0,0.49,0.12,10.1,8.6,2.5,0.41,0.1
Davie Selke,22,10,0,4,0,0.48,0,7.3,6.6,1.7,0.35,0.08
Vedad Ibiševic,32,6,4,4,1,0.37,0.25,7.7,6.2,1.9,0.48,0.12
Lewis Holtby,26,6,0,1,0,0.45,0,3.7,3.7,1,0.27,0.07
Gaël Kakuta,26,6,4,3,0,0.18,0.12,4.7,4,7.1,0.14,0.21
Moussa Konaté,24,13,1,8,0,0.47,0.04,10.4,8.9,1.6,0.38,0.06
Lionel Messi,30,34,12,3,0,1.02,0.36,25.3,22.3,13.6,0.76,0.41
Luis Suárez,30,25,7,9,0,0.78,0.22,21.7,21,9.7,0.67,0.3
Philippe Coutinho,25,8,5,1,0,0.56,0.35,3.2,3.2,3.7,0.22,0.26
Simone Verdi,25,10,8,2,0,0.32,0.25,8.1,6.5,5.6,0.26,0.18
Mattia Destro,26,6,2,3,0,0.33,0.11,7.1,7.1,1.3,0.39,0.07
Mirco Antenucci,32,11,4,1,0,0.39,0.14,8.7,4.9,2.1,0.3,0.07
Alberto Paloschi,27,7,0,2,0,0.29,0,7.1,7.1,0.9,0.29,0.03
Romelu Lukaku,24,16,7,4,0,0.5,0.22,13.6,12.9,5,0.43,0.16
Jesse Lingard,24,8,5,2,0,0.4,0.25,7.7,7.7,3,0.38,0.15
Anthony Martial,21,9,5,1,0,0.51,0.28,6.8,6,5.1,0.38,0.29
Marcus Rashford,19,7,5,3,0,0.35,0.25,4.5,4.5,4.5,0.22,0.23
Alexandre Lacazette,26,14,4,1,0,0.57,0.16,11.8,10.3,3.3,0.48,0.14
Alexis Sánchez,28,7,3,4,0,0.42,0.18,7.3,6.5,5.3,0.44,0.32
Pierre-Emerick Aubameyang,28,10,4,0,0,0.85,0.34,8.3,6.8,1.1,0.71,0.09
Xherdan Shaqiri,25,8,7,5,0,0.24,0.21,5.3,4.6,7,0.16,0.21
Mame Biram Diouf,29,6,2,6,0,0.21,0.07,7.3,7.3,0.9,0.25,0.03
Alassane Pléa,24,16,4,7,0,0.47,0.12,13.4,11.9,3.1,0.4,0.09
Mario Balotelli,26,18,1,11,1,0.71,0.04,15.6,10.1,4,0.62,0.16
Malcom,20,12,7,2,0,0.38,0.22,7.4,5.7,8.8,0.23,0.28
François Kamano,21,8,4,4,0,0.36,0.18,8.4,7.4,4.9,0.37,0.22
Iago Falque,27,12,8,2,0,0.38,0.26,9.2,9.2,6.8,0.29,0.22
Andrea Belotti,23,10,5,2,0,0.34,0.17,11.3,9.8,4.6,0.38,0.15
Adem Ljajic,25,6,10,2,0,0.25,0.42,5,5,7.7,0.21,0.32
Michael Gregoritsch,23,13,3,3,0,0.46,0.11,10.2,9.5,2.2,0.36,0.08
Alfreð Finnbogason,28,12,3,2,0,0.6,0.15,10.6,8.4,2.8,0.52,0.14
Robert Lewandowski,28,29,2,1,0,1.2,0.08,29.7,24.3,2.9,1.23,0.12
Thomas Müller,27,8,14,4,0,0.36,0.63,6.7,6.7,8.9,0.31,0.41
Sandro Wagner,29,8,2,1,0,0.99,0.25,5.4,5.4,1.2,0.68,0.15
Kevin Lasagna,24,12,2,1,0,0.51,0.08,11.9,11.9,1.2,0.5,0.05
Mark Uth,25,14,8,5,0,0.58,0.33,10.4,9.9,4.8,0.43,0.2
Andrej Kramaric,26,13,6,1,0,0.53,0.24,10.2,8.7,6,0.41,0.24
Serge Gnabry,22,10,5,0,0,0.6,0.3,7,6.2,3.3,0.42,0.2
Jonathan Calleri,23,9,3,7,0,0.26,0.09,13.9,10.1,1.9,0.4,0.05
